customer_code;item_code;business;channel;branded_pl;item_group;month;volume;budget_prices
761644;53672;Business A;Retail;Private Label;Crackers;2021-01-01;3960;40392
760394;53672;Business A;Retail;Private Label;Crackers;2021-01-01;3326.4;33929.28
793483;53672;Business A;Retail;Private Label;Crackers;2021-01-01;1425.6;14541.12
760401;53672;Business A;Retail;Private Label;Crackers;2021-01-01;9028.8;92093.76
793480;53672;Business A;Retail;Private Label;Crackers;2021-01-01;8236.8;84015.36
793052;53672;Business A;Retail;Private Label;Crackers;2021-01-01;3960;40392
760395;53672;Business A;Retail;Private Label;Crackers;2021-01-01;3484.8;35544.96
793398;53672;Business A;Retail;Private Label;Crackers;2021-01-01;3484.8;35544.96
761037;53672;Business A;Retail;Private Label;Crackers;2021-01-01;6652.8;67858.56
760997;53672;Business A;Retail;Private Label;Crackers;2021-01-01;3168;32313.6
793478;53672;Business A;Retail;Private Label;Crackers;2021-01-01;792;8078.4
793386;53672;Business A;Retail;Private Label;Crackers;2021-01-01;3168;32313.6
793476;53672;Business A;Retail;Private Label;Crackers;2021-01-01;7444.8;75936.96
760396;53672;Business A;Retail;Private Label;Crackers;2021-01-01;5544;56548.8
793044;53672;Business A;Retail;Private Label;Crackers;2021-01-01;3009.6;30697.92
793485;53672;Business A;Retail;Private Label;Crackers;2021-01-01;316.8;3231.36
793479;53672;Business A;Retail;Private Label;Crackers;2021-01-01;0;0
793382;53672;Business A;Retail;Private Label;Crackers;2021-01-01;950.4;9694.08
760397;53672;Business A;Retail;Private Label;Crackers;2021-01-01;2851.2;29082.24
761576;53672;Business A;Retail;Private Label;Crackers;2021-01-01;4435.2;45239.04
792728;53672;Business A;Retail;Private Label;Crackers;2021-01-01;4910.4;50086.08
760398;53672;Business A;Retail;Private Label;Crackers;2021-01-01;3484.8;35544.96
760399;53672;Business A;Retail;Private Label;Crackers;2021-01-01;6811.2;69474.24
760400;53672;Business A;Retail;Private Label;Crackers;2021-01-01;4593.6;46854.72
793477;53672;Business A;Retail;Private Label;Crackers;2021-01-01;4910.4;50086.08
760015;20012;Business A;Retail;Branded;Cookies;2021-01-01;38;744.43824
760015;20042;Business A;Retail;Branded;Crackers;2021-01-01;38;744.43824
760015;80100;Business A;Retail;Branded;Crackers;2021-01-01;0;0
760015;80600;Business A;Retail;Branded;Crackers;2021-01-01;24;576
760015;97100;Business B;Retail;Branded;Muffins;2021-01-01;0;0
760015;97153;Business B;Retail;Branded;Muffins;2021-01-01;0;0
760015;97501;Business B;Retail;Branded;Muffins;2021-01-01;0;0
760406;15040;Business A;Food Service;Branded;Crackers;2021-01-01;386;5550.10872
760406;20012;Business A;Retail;Branded;Cookies;2021-01-01;180;4035.5172
760406;20042;Business A;Retail;Branded;Crackers;2021-01-01;180;4035.5172
760406;20052;Business A;Retail;Branded;Plain Bread;2021-01-01;40;896.7816
760025;10245;Business A;Retail;Private Label;Crackers;2021-01-01;360;5097.6
760662;10245;Business A;Retail;Private Label;Crackers;2021-01-01;0;0
760677;10245;Business A;Retail;Private Label;Crackers;2021-01-01;120;1722.9888
760682;10245;Business A;Retail;Private Label;Crackers;2021-01-01;0;0
761227;10245;Business A;Retail;Private Label;Crackers;2021-01-01;240;3445.9776
760672;10245;Business A;Retail;Private Label;Crackers;2021-01-01;0;0
760055;20042;Business A;Retail;Branded;Crackers;2021-01-01;120;2455.5024
760055;20052;Business A;Retail;Branded;Plain Bread;2021-01-01;0;0
760055;66500;Business A;Retail;Branded;Crackers;2021-01-01;0;0
760055;67500;Business A;Retail;Branded;Crackers;2021-01-01;0;0
760055;80100;Business A;Retail;Branded;Crackers;2021-01-01;360;7366.5072
760055;80600;Business A;Retail;Branded;Crackers;2021-01-01;108;2871.40464
760055;80601;Business A;Retail;Branded;Crackers;2021-01-01;0;0
760055;97100;Business B;Retail;Branded;Muffins;2021-01-01;0;0
760055;97101;Business B;Retail;Branded;Muffins;2021-01-01;0;0
760055;97103;Business B;Retail;Branded;Muffins;2021-01-01;0;0
760055;97506;Business B;Retail;Branded;Muffins;2021-01-01;0;0
760055;97508;Business B;Retail;Branded;Muffins;2021-01-01;0;0
793306;97566;Business B;Food Service;Private Label;Crisps;2021-01-01;3744;276227.22816
791480;15040;Business A;Food Service;Branded;Crackers;2021-01-01;0;0
793571;15040;Business A;Food Service;Branded;Crackers;2021-01-01;480;6806.4
793574;15040;Business A;Food Service;Branded;Crackers;2021-01-01;0;0
792408;97100;Business B;Retail;Branded;Muffins;2021-01-01;0;0
792408;97101;Business B;Retail;Branded;Muffins;2021-01-01;0;0
792408;97102;Business B;Retail;Branded;Muffins;2021-01-01;0;0
792408;97103;Business B;Retail;Branded;Muffins;2021-01-01;0;0
792408;97128;Business B;Retail;Branded;Muffins;2021-01-01;0;0
792408;97501;Business B;Retail;Branded;Muffins;2021-01-01;0;0
792408;97524;Business B;Retail;Branded;Crisps;2021-01-01;0;0
792408;97567;Business B;Retail;Branded;Crisps;2021-01-01;0;0
792408;97568;Business B;Retail;Branded;Crisps;2021-01-01;0;0
791480;97969;Business B;Retail;Private Label;Muffins;2021-01-01;0;0
791480;97970;Business B;Retail;Private Label;Crisps;2021-01-01;420;5846.4
791480;97971;Business B;Retail;Private Label;Muffins;2021-01-01;210;2923.2
791480;97972;Business B;Retail;Private Label;Crisps;2021-01-01;0;0
700139;15040;Business A;Food Service;Branded;Crackers;2021-01-01;768;9670
760080;20012;Business A;Retail;Branded;Cookies;2021-01-01;0;0
760080;44766;Business A;Retail;Private Label;Crackers;2021-01-01;4036;54021.0528
760080;66500;Business A;Retail;Branded;Crackers;2021-01-01;336;11362.4784
760080;67500;Business A;Retail;Branded;Crackers;2021-01-01;1760;23057.5488
760085;80100;Business A;Retail;Branded;Crackers;2021-01-01;1440;26647.92
760085;80600;Business A;Retail;Branded;Crackers;2021-01-01;144;3311.64288
792776;20042;Business A;Retail;Branded;Crackers;2021-01-01;0;0
792775;20042;Business A;Retail;Branded;Crackers;2021-01-01;0;0
700497;01220;Business A;Retail;Private Label;Cookies;2021-01-01;1000;13263.12
792441;80100;Business A;Retail;Branded;Crackers;2021-01-01;2880;58406.4
